"female","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH"
1,289,50.5,41.52,15.93,18.34,294,54,43.5,17.41,17.85,221,14.76,9.72,219,14.48,10.58,416,414,70.5,60.83,43.13,26.49,24.74,411,409.5,72.5,62.24,43.48,26.21,24.63,338.5,65,20.37,24.08,335,67.5,19.82,23.24,270,157.39,127.73,48.89,49.96
1,285.45,62.1,39.91,17.16,15.52,299,51.5,39,17.52,16.78,202,15.31,10.31,206,13.99,9.91,380.74,389.16,76.38,70.24,42.72,25.56,26.82,393.5,390,70,60.22,39.41,23.41,24.5,411.95,70.92,18.43,25.38,317,64,18.35,20.77,247,165.01,150,45.21,43.89
0,311.82,54.8,42.06,15.19,19.19,331.18,48.41,43.25,19.78,19.14,243.8,15.17,13.16,231.58,15.38,10.12,415,409.5,76,65.56,42.79,26.25,25.87,416.5,414,73,63.23,43.19,25.68,26.61,335.5,66,20.02,26.24,334.5,66,20.68,25.78,253,156.48,163.23,52.96,49.71
0,333,57,41.98,23.17,22.79,338,61,36.96,23.14,25.63,212.83,17.26,8.9,239,17.54,13.4,478,475,79,68.71,48.97,28.79,33.68,479,476,80,70.09,50.71,28.05,34.44,411.74,71.2,15.36,25.56,386.42,67.88,21.72,24.3,274,158.33,169,51.03,54.41
0,347.5,71,50.03,27.02,27.29,350,74.5,51.93,28.53,26.15,261.5,19.03,14.08,264,18.33,13.82,481,479.5,93,82.57,55.08,30.26,37.06,480,478,84.26,73.22,54.54,30.49,37.27,389,86,26.85,28.56,393,84,27.98,29.69,296,136.54,181,53.04,47.86
0,323.5,61.44,46.81,21.95,23.52,332,63.5,49.22,23.18,23.19,260.66,16.19,11.68,245,17.26,13.21,457,454,82.5,73.46,48.69,28.19,30.08,461,458,83,73.11,49.22,28.46,30.15,372,75,23.31,27.33,373,77,23.79,25.14,294,170,174,54.28,53.38
1,251.52,54.09,41.85,21.11,23.91,282,53,40.4,21,20,205.62,14.3,11.36,204.5,14.26,11.12,381,377,68.5,61.81,38.08,24.14,25.67,380.5,374,68.5,61.69,38.63,22.44,24.92,315.5,61.5,20,26.48,314,60,20.41,24.13,249,142,140,43.23,49.8
0,329,64,50.39,20.53,21.38,331,58.19,48.69,22.35,19.91,218.74,16.24,9.76,242.5,16.81,13.94,453,449,75.07,68.76,49.46,30.78,28.05,456,452,83.71,73.54,50.71,31.05,29.18,369,68.79,22.35,26.09,370.5,71,23.41,27.59,282,166.24,151.04,53.45,56.43
1,297.5,54,42.6,17.89,17.76,315,60.59,48.73,17.45,22.23,232,14.4,11.66,234,14.1,10.74,404.46,446.54,69.14,75.06,42.67,26.32,23.78,420,419,80.42,65.94,42.86,25.53,25.67,345,69.5,19.99,24.93,347.5,67,20.26,22.89,263,157.75,157.63,47.99,48.09
0,302.5,64.5,46.91,22.35,23.25,309,63.5,47.1,24.88,22.69,225,17.25,11.82,228,17.89,11.3,436.5,434,79,67.91,48.13,29.63,27.09,401.57,364.28,79.68,61.38,38.78,25.23,24.79,355,72,23.3,24.95,351,70,23.2,25.73,287,154,160.53,52.49,41.69
0,300.04,59.34,46.57,18.15,19.34,314,62,46.7,23.38,22.63,241.5,17.05,12.68,247,16.01,12.62,428.72,430.45,77.88,71.3,43.23,28.55,30.11,406.15,424.43,76.79,56.93,46.45,24.48,23.07,329.9,70.47,22.48,23.47,327.72,70.79,20.76,26.2,268,150,157.25,48.75,40.59
1,302,67.36,38.18,16.88,17.55,310,57,40.06,18.59,17.28,253.02,15.19,9.04,228,14.09,10.1,425,419,72,63.41,36.25,24.55,24.54,426,420,73,62.72,42.33,24.09,23.44,341,63.95,18.24,22.85,343,66,16.71,23.78,262,160.78,160,52.91,43.58
0,309,58,44.85,17.66,19.62,315,57.5,45,17.75,19.52,241,14.33,10.66,242.5,14.87,10.5,430.5,424,77,67.29,45.18,27.48,23.64,416,410.5,77,66.09,45.51,28.93,24.19,375,70,20.58,24.68,370,70,21.46,23.85,245,154,149,50.6,50.53
0,306,60,42.71,21.04,21.8,314,63,45.15,22.81,21.71,238,16.97,11.68,239.43,12.67,12.52,424.43,366.05,81.85,71.25,42.21,21.87,29.81,471.56,417.15,74.38,72.5,38.54,24.49,28.08,355.87,66.08,22.15,22.92,350.75,76.72,21.21,26.36,296,168,154.06,49.91,50.74
0,300,58,40.04,20,20.1,304,59,42.33,18.65,19.52,230,13.06,10.55,232,13.94,11.12,421.5,414,70,59.44,39.62,24.15,27.05,418.5,413,73,62.07,40.95,23.64,26.15,353,62,21.13,22.34,352,64.72,21.49,22.73,264,149,149,45.9,45.56
0,292.5,53,40.88,20.58,19.48,297,59.39,39.69,22.78,20.25,218,14.52,11.16,220,14.68,10.69,412.5,409,68,58.39,43.02,23.52,27.05,416,408,70,60.58,42.54,22.85,28.86,334,61,18.81,24.16,333,62,19.26,22.77,261,158,162.64,46.35,48.55
0,339,64,52.63,22.07,23.29,349,64.5,53.1,25.34,24.32,257,20.19,14.38,261.5,21.47,14.43,479,474,91,80.86,54.5,32.2,31.74,474,467,90,80.28,55.19,29.93,32,400,84,26.02,28.86,400,66.91,26.68,28.21,315,155.37,162,58.67,60.41
1,288.5,52,41.41,17.36,16.49,290,48.96,39.51,16.96,17.04,202.5,13.8,10.75,206,13.87,10.31,475.94,419.87,61.03,71.27,42.68,22.9,30.96,385,384,71,64.16,38.95,21.92,22.97,315,76.98,19.11,23.77,321,66,18.75,23.48,239,137,138,48.1,41.95
1,317,62,44.28,20.17,25.39,314,62,44.14,21.6,22.49,245,14.21,11.63,249,14.7,11.73,443,441,76,66.67,45.02,30.77,28.33,443.5,442,77,67.11,45.06,29,25.05,390,68,22.46,26.32,390,70.5,22.95,25.73,269,169,164,48.06,50.76
0,352,65.39,49.37,24.25,23.91,359,63,48.5,24.24,24.77,246.61,15.09,12,268,15.07,13.94,497,490,85.76,65.59,36.77,26.65,32.68,502,495,74.84,67.68,52.2,26.37,32.57,399,61.84,23.31,28.27,403,73.5,25.24,28.97,286,147.1,150.72,52.06,56.05
1,329.87,59.72,40.89,24.29,21.62,295.97,64.8,41.76,23.16,20.22,215.96,14.44,10.68,269.16,13.05,11.62,434,428,72,62.32,42.47,25.49,25.31,432.5,423.5,75,65.3,42.19,24.52,25.03,355,65,22.2,25.33,355,64,22.05,24.71,259,145,144,50.39,49.86
1,294,54,43.17,18.28,17.07,303,54.5,43.39,19.55,17.64,227,12.1,10.12,228,12.45,9.95,413,408,69.5,59.33,42.74,27.75,27.05,408,404,69,60.49,43.37,25.16,25.73,349,63.5,19.72,24,349,62,21.02,23.7,258,156,154,48.34,49.75
0,316,66.5,49.98,19.85,24.14,319,65.5,51.23,21.79,23.49,232.68,9.83,11.54,189.94,13.09,10.2,441,439,83,73.8,49.27,31.49,29.34,431,427.5,84,74.35,49.06,31.01,29.63,378.5,76,24.98,27.68,378,74,25.73,26.84,231.92,128.47,156.84,54.71,54.16
0,289,60,45.41,18.15,20,295.5,58.5,44.49,18.96,18.84,231,14.42,10.98,234.5,15.58,11.63,414,405,73.5,63.48,44.27,26.82,27.11,416,408,74,63.19,45.79,27.16,26.45,347,64,21.14,20.88,348,63.5,22.11,23.09,261,150,149,51.72,51.44
0,325.5,63,45.76,21.26,20.13,327,64.5,44.3,22.47,21.44,243,15.11,12.01,246,15.3,12.53,451,445,78.5,69.21,47.91,27.89,28.29,454,450,76,64.06,48.3,29.04,27.96,366,69,22.58,26,362,70,24.07,25.55,269.5,154,163.72,52.46,53.43
0,301,55,45.3,18.1,20.1,304,59,44.87,19.54,19.64,257.19,13.52,9.77,226,14.18,10.51,427,422,78,66.82,44.3,28.51,25.66,425,420.5,78,68.45,44.7,27.44,25.1,335,72,21.6,24.81,339,71.5,21.51,25.9,262.5,159,156,50.1,50.33
0,300,54,38.7,18.1,20.03,306,59.5,37.76,18.71,19.74,239,15.77,10.48,240,13.61,10.39,416.5,413,72,61.99,42.18,27.79,25.35,416,415,71.5,63.09,42.6,27.9,24.4,361.5,66,20.38,25.69,358.5,64.5,22.22,24.33,265,142.44,150,47.27,47.7
1,294,54,39.16,19.01,18.86,304.31,63.74,39.32,21.36,18.68,218.5,12.76,10.22,218.5,13.07,9.85,394,388,74,61.72,40.82,23.56,24.87,397.5,390,74,62.92,40.46,23.29,26.49,333.5,64,18.37,24.23,334,64,18.69,24.23,265,157,149.05,46.01,45.7
0,319,58,46.08,22.39,21.19,317,58,43.29,22.88,22.17,241,14.83,11.34,240.5,14.52,11.24,464.5,462,79,68.36,45.01,26.65,29.59,460,458,79,68.12,43.79,26.59,30.77,372,72.5,21.3,25.17,372,73,21.13,26.05,278,167,165,51.67,51.9
1,274.5,52.5,39.99,18.47,17.18,282,55,38.03,19.15,18.05,217,12.43,9.53,221,12.59,9.57,392,387,71.5,60.63,41.88,23.24,21.58,389,383.5,71,61.45,42.75,21.2,22.67,323,65,19.06,22.16,321,67,17.89,20.16,247.5,153,155,48.69,49.81
0,293.27,58.57,42.22,19.28,17.44,345,66.5,45.87,23.52,22.04,235.27,15.4,8.93,258,15.62,12.23,480,476,79,69.36,48.98,29.1,29.76,475,472.5,81,70.45,49.32,30.27,30.16,408,70,22.73,26.64,409,73,22.97,26.86,290,161,160,55,53.01
0,315,61,44.03,19.68,20.6,274.46,63.37,50.21,18.6,17.04,240.5,15.49,11.29,212.21,14.47,12.05,436,431.5,72.5,76.72,45.89,26.26,30.57,433,430,79.63,57.37,46.8,26.43,29.77,366,67,21.73,26.52,364,66,23.05,26.19,271,145.66,165.27,51.74,52.42
1,297,59,41.56,20.66,20.02,302,59,41.95,21.29,19.28,214,15.39,10.85,222,15.25,10.93,427,423.5,71,63.08,40.92,25.36,26.82,425,423,72,62.37,41.73,25.57,27.68,359.5,65.5,20.5,23.37,360,67,20.62,23.22,275,154,155,46.24,49.04
0,308.5,65,45.2,23.58,22.92,315,65,44.75,24.54,22.45,246.5,16.83,13.41,248.5,17.64,13.27,451.5,446,81,71.62,45.13,28.42,29.38,439.51,379.18,73.84,64.81,45.51,25.92,22.25,383,74.72,23.31,25.53,385,72,23.87,25.45,271.5,161,163,49.31,51.38
0,300,62,40.9,22.26,19.96,304,60,42.61,23.32,20.37,232,16.93,11.06,230,17.11,11.33,425,419,77,65.56,43.82,27.27,28.02,427,420.5,80,68.54,45.01,26.33,28.3,351,72.5,22.35,27.29,349.5,72,23.23,27.2,268,140.56,142.61,51.27,51.59
0,303.5,58,42.84,20.34,22.22,306.5,56,43.53,22.54,21.94,227,15.34,12.27,230.5,15.68,12.41,430,428,72.69,63.31,45.96,25.5,28,435.5,432,74,64.45,47.75,26.19,28.69,341,68,22.05,22.11,344,66.5,21.96,21.4,247,150,152,53.27,52.71
1,271,54,36.85,16.26,19.14,321.19,56.75,41.05,21.44,19.98,217,15.32,11.36,233.53,14.24,11.65,390.5,389,69,60.06,38.58,24.49,23.13,390.5,388,71,59.96,38.39,24.98,24.44,385.48,71.03,23.8,29.97,314,62,20.99,23.9,279,143.75,158,50.35,48.64
0,272,53,39.82,15.27,17.59,282,53,39.55,15.94,17.55,220,13.66,10.48,223.5,13.37,10.54,415,409,72.5,62.08,41.54,22.86,24.65,413,408,73,62.49,42,21.82,24.71,342,69,20.92,23.88,343.5,68,20.9,23.77,233,144,145,46.7,46.42
1,277.5,53,41.62,18.29,19.83,278,54,41.03,20.15,21.18,223,13.81,11.44,224,15.08,11.9,384,380,74,64.33,41.55,23.16,27.23,382,379,74,64.16,41.65,22.8,26.63,325,69,19.29,25.62,325,68,20.44,25.12,252,145,143,46.79,47.34
1,283.04,66.65,51.71,14.67,15.14,327.7,56.94,46.77,19.73,19.93,267,13.34,10.69,273,14.2,10.25,352,348,60,52.85,34.25,20.05,18.88,350.5,347,60,53.02,34.04,19.6,18.34,301.77,72.6,20.85,26.35,384.89,68.68,25.58,25.3,199,123,122,39.61,39.31
0,329,65,43.01,17,19.59,331.5,66.5,42.74,17.06,20.34,262,11.47,11.46,267,12.87,11.95,471,465,78,68.81,44.66,24.59,25.92,468,461.5,79,69.43,44.3,24.68,26.13,406,73,20.45,27.22,403.5,73,19.18,27.46,245,143,139,50.72,50.06
1,269,49,36.26,14.25,18.07,275,49.5,37.09,14.56,18.36,213,11.78,9.94,216,12.82,10,355.5,353.5,66,61.11,37.93,20.86,23.8,361.5,357.5,69,62.7,36.21,20.22,24.68,311,62.5,17.21,22.32,312.5,64,17.71,22.12,232,132,133,42.51,41.67
1,250.5,46.5,30.89,12.28,15.22,266,44,32.41,12.25,16.02,192.5,11.01,9.07,195,10.03,9.27,354,352,59.5,50.48,34.87,20.66,22.88,350,348.5,60,50.42,34,20.11,22.68,295,53,17.15,24.78,298,52,17.4,22.19,225,129,127,40.47,39.21
0,268.5,48,32.49,14.91,15.46,273,48.5,33.79,14.16,15,212.5,10.91,10.5,210,11.72,10.28,368.5,364.5,62,52.53,35.46,18.94,22.7,363,360,61.5,53.59,35.69,17.97,20.75,311,56.5,20.31,26.82,309,57,20.18,25.78,235,120,122,40.72,40.86
0,320.55,52.2,35.51,18.44,23.92,279.5,50,34.79,18.44,17.56,208,14.57,11.65,214.5,14.3,11.07,431.39,311.91,67.02,74.94,36.39,29.2,30.92,368,362.5,78.99,70.14,37.26,22.29,24.06,362.14,75.72,19.33,27.32,314,53.92,18.66,25.77,217,151.49,163.17,41.18,42.28
1,253,50,37.99,15.66,16.86,260.5,51,38.4,16.16,16.79,196,13.19,10.11,197,13.6,9.33,377,373,70,59.21,39.17,20.98,21.37,376,373,71,60.44,39.71,21.33,23.19,304.5,63.5,18.8,23.33,303,64,20.58,22.28,236,134,135,44.7,44.96
0,295,60,44.26,18.91,20.25,294.5,61,43.68,18.42,20.48,234.5,12.66,11.48,231,14.9,12.11,427,424,79,68.29,43.95,25.37,27.63,426.5,424,80,69.13,44.49,24.38,27.27,363,71,22.9,25.97,357,70,22.38,24.82,267,143,142,50.43,51.45
0,278,53.5,39.71,17.04,18.45,288.5,55,40.09,19.28,19,228,14.58,11.06,232.5,14.68,11.17,420.5,417,70,60.3,38.6,25.06,28.2,422.5,419,68,59.37,38.9,24.09,27.2,348,64.5,19.74,26.16,350.5,65.5,20,24.85,250,139,138,43.6,43.81
1,316,58.5,44.89,21.03,20.9,321,61,45.41,21.6,21.35,227.72,13.56,11.07,232.6,14.5,13.42,444,438,72,65.84,44.06,27.71,27.27,401.58,411.69,73,66.91,49.73,30.25,24.89,342.82,75.3,18.56,22.76,380,73,21.15,26.5,259,162.33,143.41,49.41,47.2
1,295,54,40.27,20.34,20.79,296.5,54.5,39.48,21.64,21.99,236,14.34,10.89,227.5,15.83,10.27,403,398,70.5,62.24,41.02,25.74,29.12,400,396,70,62.66,42.49,24.89,27.46,340.5,66,19.77,25.78,340,65,21.33,23.34,252,153.89,144,45.27,45.01
1,309.5,52.5,37.66,16.79,18.02,306.5,52,39.02,16.5,19.78,237,13.56,10.44,239.5,13.64,10.64,383.11,371.33,70.5,76.36,43.62,30.29,26.33,418.5,414.5,70,61.73,41.28,23.06,24.31,366.5,67,19.17,23.4,366,67,18.75,24.2,254,139,137,44.44,45.31
1,287.5,52.5,41.37,18.62,17.5,290.5,53,40.07,19.45,17.68,232.5,13.71,9.63,235,14.02,9.57,405.5,405,68,60.11,38.93,23.78,24.5,457.39,434.15,76.91,64.63,38.3,23.56,27.23,333,65,18.31,24.2,334,63.5,19.48,24.17,246,141,140,44.24,44.36
0,332,58.5,42.9,23.04,20.7,338,61,44.69,21.79,21.09,269,14.49,11.99,272,15.69,13.12,475,471,79.5,70.13,45.32,27.82,28.64,471.5,467,79,69.88,44.09,29.35,29.1,402.5,74.5,19.8,31.42,402.5,76.5,23.14,27.6,290,154,143.16,51.74,49.69
0,337.5,60,42.75,20.93,19.73,318.16,59.5,37.91,22.48,20.73,290.5,13.04,12.15,288,13.82,11.92,464,459,79.5,71.58,45.02,27.16,26.07,466,463,81,73.2,45.19,24.87,29.3,408.5,77,21.37,28.52,405,77.5,21.54,28.32,284,161,175.68,50.08,55.4
0,336.5,61.08,45.63,22.4,22.18,338,62.5,45.91,21.88,23.25,278.5,13.94,12.7,269.89,14.45,11.93,466,463,78.5,67.3,45.55,28.04,27.34,466,462.5,79.5,67.78,46.11,28.25,27.7,419,76,23.06,28.6,409,75,22.05,27.1,275,152.54,166.25,48.57,49.03
1,302.5,55.5,40.07,19.65,18.89,303,57.5,38.93,19.76,19.36,250,14.24,11.22,257.5,13.29,12.09,432.5,431,72,65.31,43.18,22.87,24.23,431,429,72,66.21,43.52,23.67,25.98,362,70,19.56,27.2,343.91,67.14,18.37,27.14,258,145,150.29,48.8,48.85
0,285.11,54.45,46.41,18.61,22.81,276.19,55.42,47.49,21.08,21.34,240.84,17.39,11.57,255.02,12.86,12.14,445.74,392.02,76.48,67.49,45.46,22.66,29.41,447.51,423.37,77.67,71.31,36.4,20.19,23.16,326.21,65.2,19.45,29.69,328.69,66.46,25.28,28.31,256,151.37,142.69,53.35,56.16
0,309.94,70.8,44.86,21.16,22.33,329.5,57,45.24,20.73,21.97,266,13.34,11.07,267.5,13.52,11.73,351.26,438.17,66.59,68.41,47.61,21.12,23.05,457,452.5,78.5,72.54,45.69,25.37,27.53,402.5,74,21.97,30.79,399.5,74.5,22.91,30.45,255,149,151,49.4,49.73
0,350.5,60,47.89,19.15,19.57,351,59.5,48.46,20.93,20.93,260,13.43,11.3,264,13.09,12.02,406.19,397.1,81,75.41,44.67,26,27.96,460.49,415.01,76.2,72.98,46.38,22.06,26.5,390.5,77.5,20.59,28.45,388.5,79,23.77,27.41,282,159,147.34,53.19,50.49
0,263.71,55.81,43.22,18.34,17.39,325,60,45.01,20.14,21.21,261,13.19,11.75,260,13.33,11.96,448.5,443.5,79,72.17,45.89,25.8,26.2,447.5,444.5,78.5,71.25,46.05,24.89,24.62,383,76,20.1,26.66,387,74,21.79,26.93,242.5,144,146,50.13,51.34
0,325.5,59,46.32,22.19,21.64,329,60,46.44,22.94,22.54,254,16.72,12.34,257,16.59,12.45,397.89,371.62,81,71.23,42.09,25.25,26.97,440,439,81,70.23,44.74,25.31,30.08,378.04,69.42,20.74,27.26,372.5,75.5,22.91,29.29,258,151,152,50.98,50.99
0,315,62.5,47.77,20.81,19.42,319,63,49.23,21.13,20.65,249,12.85,11.03,253,13.17,11.62,453.5,451,80.5,69.48,45.63,24.9,28.9,452,449.5,81,70.2,47.78,21.68,28.05,306.44,73.75,15.85,23.14,378.14,70.23,23.27,28.95,274,156,150.98,53.74,41.75
0,341,63,47.03,22.95,21.58,344,62,45.83,25.81,23.04,289.5,17.06,13.17,291,16.68,12.75,477,475,86,76.1,47.59,26.84,30.78,428.48,401.19,88,76.84,47.68,25.96,22.32,403,82,24.08,28.92,400.5,69.03,23.64,28.94,284,162,164,53.63,53.38
1,297,54,40.38,18.96,17.92,303.5,54,39.06,17.66,19.09,232,12.52,9.84,231,12.42,10.21,425.5,422,69.5,61.86,40.69,24.09,24.34,428,427,69,62.33,40.92,30.34,26.2,351.5,67.5,19.78,22.68,372.76,79.95,22.27,27.63,260,138,139.15,51.78,53.88
0,271.22,56.83,41.56,20.37,20.96,322.49,47.16,45.23,18.6,20.89,242.52,9.93,10.6,269.5,13.88,13.27,449,443.5,79,69.03,41.2,24.55,28.18,448.5,445,79,68.69,44.75,24.66,26.2,381,72.5,18.8,26.3,381,73,21.17,26.06,252,145,156.33,47.41,46.02
0,293.32,62.75,45.96,16.36,17.92,348,62,45.05,21.85,21.36,283,13.38,12.03,285,14.54,11.77,487,481,83,73.3,48.44,27.02,27.82,484,477.5,83.5,76.13,47.26,27.61,27.77,385.32,61.16,22.76,26.53,411.5,79,25.03,28.93,261,143.7,162,49.78,53.71
1,279.9,60.69,51.57,20.88,20.97,292,58,38.88,20.4,19.59,227,13.9,10.28,230,13.15,10.63,452.61,435.46,75,65.68,41.64,25.12,24.64,399,394,75,65.14,41.98,24.36,24.82,353,72.5,21.14,26.18,355,72,23.59,29.41,258,151.79,141,49.25,45.25
0,332.5,66,46.73,21.91,19.02,338,65.5,47.28,21.46,20.73,262,12,11.38,263.5,13.11,11.64,434.5,433,80,69.09,47.03,26.92,26.98,393.37,401.05,77.82,61.63,45.01,23.12,31.29,366,73.5,19.53,27.73,370,73.5,22.83,26.69,277,144.12,140.23,52.26,48.8
1,250,49.5,36.81,20.13,18.62,309.21,62.35,40.3,21.84,24.03,200.5,12.04,9.86,223.82,13.43,10.29,468.35,398.29,77.36,62.25,39.4,26.09,31.33,378,372,69.5,60.66,39.5,22.62,25.01,313,58,22.53,22.66,311.51,73.09,22.26,33.19,250,145,156.39,44.24,51.48
0,335.2,50.87,45.03,22.77,20.06,307.82,55.12,38.25,23.27,20.86,186.62,12.65,10.8,249.21,19.53,10.89,405,397.5,68,62.32,38.48,23.64,26.3,405,398.5,70.5,61.99,38.19,25.05,27.16,340,64,21.83,28.17,385.81,63.29,20.74,26.25,271.8,134.9,141.97,43.72,49.84
1,250,49,39.96,18.16,17.46,256,51,38.71,17.51,18.28,202,13.37,9.61,242.62,14.48,13.91,362.5,358,69,62.63,38.19,21.78,22.64,365,362,67,61.19,37.66,21.74,23.61,340.19,60.97,23.35,27.15,308,64,18,22.96,274.39,151.86,155.4,48.79,49.15
1,324.95,55.82,49.1,20.7,16.11,258,50,38.45,18.25,17.71,216.66,12.06,10.17,256.75,17.91,11.79,369.5,362,69,59.34,38.22,21.46,24.97,374,366.5,68.5,62.4,37.82,21.89,25.65,316,60.5,18.56,24.83,318,61.5,20.26,21.64,252,146.31,143,43.57,44.92
0,298,64,45.01,23.86,21.08,300,63,45.01,22.96,21.57,240,17.26,12.42,241,18.83,12.46,441.5,438.5,84,72.74,47.37,24.27,30.46,446,439,84,73.01,47.11,24.38,31,368,77,21.97,32.96,368,74.5,22.06,30.42,252,152,154,52.16,52.45
0,306,60,46.61,26.39,19.82,311,60.5,47.17,26.45,22.48,240.25,13.44,11.51,236.06,17.75,10.24,430.5,429,81,73.24,45.62,25.95,30.02,431,429,83,68.08,45.46,26.07,30.24,347.53,81.8,20.47,25.53,368,72,25.75,28.01,242.18,146.56,155.06,50.14,43.38
1,257,51,37.73,18.81,18.8,265,50.5,37.98,19.07,20.75,206,12.97,10.38,208.5,13.07,9.84,373.5,372,71,60.51,39.1,24.83,24.03,373,370.5,71.5,63.19,38.91,26.19,24.88,312,65,18.29,23.78,312,65,20.78,23.89,262,131.87,141.17,43.25,42.57
0,270.5,55,40.49,22.97,20.65,274,54,41.17,22.21,23.03,221,17.14,12.1,224,17.19,12.2,392,406.14,79.66,62.01,40.65,24.52,27.89,393,389.5,73,65.64,41.25,23.92,27.6,321.5,69,23.16,28.03,324,68,22.64,27.65,238.5,149,148,48.5,46.64
0,286.5,59,44.42,26.08,20.49,288.5,57,44.79,25.17,23.31,266.94,15.52,10.74,226,17.4,12.46,414,412,77.5,66.81,44.77,24.05,29.16,416.5,412,77,65.71,45.59,25.05,28.8,334,68.5,20.79,31.43,338.5,70,26.51,29.46,240,154,156,50.68,51
0,293,52,41.98,22.3,21.29,284.5,52,41.73,23.17,20.83,228,17.1,13.29,230.5,15.92,13.21,394,390,76,65.83,44.16,26.41,27.13,391,388,75.5,66.42,43.6,26.98,28.12,332,66,23.81,28.92,354.34,73.27,23.81,27.7,241,144,144,50.75,48.63
0,286,59,42.87,23.63,20.6,286.5,59,41.48,22.02,22.61,247,15.87,12.06,220.79,13.87,12.1,432,430,78,69.55,44.32,26.49,29.01,429,428,78,66.46,44.51,25.95,30.19,351.07,66.26,19.99,21.03,383,71,26.31,28.86,272,154,162.4,48.11,48.75
0,275,58.5,44.6,22.02,19.65,276.5,58,45.84,23.9,20.87,227,14.75,11.4,232,16.27,12.05,403,401.5,79.5,68,46.04,24.78,29.65,409.35,461.07,74.04,68.59,45.08,26.3,24.31,340.5,71,22.7,30.2,301.9,72.72,25.01,21.57,253,151,149,51.93,45.34
0,271,61,43.53,23.84,19.69,271.5,60,43.53,23.41,20.46,242.44,17.98,12.84,224,17.52,12.02,390.59,376.75,83.4,67.31,41.45,24.55,30.01,364.52,401.74,83.78,66.07,42.87,26.4,28.51,341.7,66.99,19.33,25.48,333.95,54.33,22.5,21.71,255,130.2,149,47.63,47.35
0,285.67,59.66,49.65,17.38,17.9,274.5,54,40.99,19.51,18.73,214.5,14.11,9.49,215,14.9,9.81,375.83,414.37,71.25,65.78,46.73,20.91,27.77,391.5,390.5,74,63.17,40.51,23.86,25.5,324.09,67.96,20.75,25.65,334.5,66,22.45,24.31,248,142.68,153,43.86,47.54
0,285,57,46.15,26.02,22.88,290.5,59,46.91,25.68,22.2,230.5,17.73,13.01,232,17.47,12.95,417,413.5,83,73.25,48.02,27.16,28.07,423,419,84,71.74,47.67,26.76,29.35,346.5,74.5,24.27,32.89,351,76.5,28.67,31.25,258,148,150,50.72,50.54
1,317.01,48.26,40.79,20.14,12.56,261,52,40.52,19.68,19,203.5,15.02,10.08,205,15.57,10.26,378.5,377,71,63.4,39.97,24.65,26.5,372,369.5,70.5,59.67,39.38,23.33,26,316.5,66,20.42,25.31,314,65.5,21.4,25.43,256,145,146,44.13,42.25
0,279,62,43.81,26.01,20.28,296,59,43.26,24.19,20.76,241,15.45,12.49,246,15.99,11.93,411.6,423.7,70.14,56.37,51.74,22.22,27.74,419,418,77.5,65.52,43.78,25.97,27.54,326.05,73.17,24.16,30.99,352,68,23.07,27.32,246,154,160,48.13,48.18
1,266,53,40.5,18.58,18,272,52,40.61,17.61,19.67,198.5,14.5,11.32,200,14.89,11.49,384,381,71,62.01,40.24,23.88,23.41,381,380,71,60.96,40.11,23.62,22.87,327,64,19.47,25.98,323,64.5,20.46,23.5,256,142,143,47.07,44.28
1,324.96,53.58,41.24,22.35,21.77,263,51,39.37,17.16,16.67,197.5,12.64,9.28,203,12.4,8.9,379,373.5,67,56.12,39.28,23.58,22.46,380.5,375,67,57.81,39.14,22.82,23.06,314,62,18.12,23.2,319.49,62.39,22.09,24.02,249,144,142,44.44,41.59
0,264.5,56,39.77,24.09,20.35,272,56,41.01,23.58,18.74,224,15,11.18,226.5,15.05,11.35,396,393,76.5,68.32,41.93,24.44,25.7,405,399,77.5,68.83,42.6,23.8,26.56,331,70,20.27,27.07,321,69,22.68,25.79,233,137,136,48.07,47.61
1,260,46,35.8,17.26,16.6,266,48,36.02,16.03,17.5,238.61,17.86,12.13,203.5,12.46,9.81,372,366,63,55.22,34.73,22.33,22.48,367,362,64,53.49,34.6,23.22,23.57,305,53,17.76,23.91,300,55,20.19,21.99,225.5,136,135,39.34,40.07
1,309.69,56.08,40.63,22.62,20.17,256,56,40.56,20.41,21.34,196,16,9.46,204,14.49,10.21,371,363,71.5,60.52,38.01,23.32,26.15,368,363,72,61.79,38.71,23.71,25.3,298,63,22.09,25.14,299,66,20.9,25.17,276,151,158,40.6,42.37
0,259,55,39.62,20.92,19.36,324.28,55.55,33.48,20.75,23.42,243.93,14.67,12.94,237.48,14.06,11.22,388,383,72,75.26,40.1,21.2,26.09,411.3,369.76,73.6,65.59,45.8,28.14,26.49,320,64,20.26,25.38,346.33,65.28,20.38,25.05,254,142,140,43.98,43.88
